Date,Time,Weekday,To Home,To Work
2016-10-18,06:55,Tuesday,57 mins,55 mins
2016-10-18,07:00,Tuesday,58 mins,57 mins
2016-10-18,07:05,Tuesday,57 mins,1 hour 3 mins
2016-10-18,07:10,Tuesday,57 mins,1 hour 2 mins
2016-10-18,07:15,Tuesday,57 mins,1 hour 3 mins
2016-10-18,07:20,Tuesday,1 hour 2 mins,1 hour 2 mins
2016-10-18,07:25,Tuesday,1 hour 4 mins,1 hour 0 mins
2016-10-18,07:30,Tuesday,1 hour 5 mins,1 hour 2 mins
2016-10-18,07:35,Tuesday,1 hour 4 mins,1 hour 1 min
2016-10-18,07:40,Tuesday,1 hour 1 min,1 hour 0 mins
2016-10-18,07:45,Tuesday,1 hour 5 mins,55 mins
2016-10-18,07:50,Tuesday,1 hour 8 mins,54 mins
2016-10-18,07:55,Tuesday,1 hour 7 mins,53 mins
2016-10-18,17:00,Tuesday,59 mins,41 mins
2016-10-18,17:05,Tuesday,1 hour 0 mins,40 mins
2016-10-18,17:10,Tuesday,1 hour 1 min,41 mins
2016-10-18,17:15,Tuesday,1 hour 4 mins,40 mins
2016-10-18,17:20,Tuesday,1 hour 3 mins,42 mins
2016-10-18,17:25,Tuesday,1 hour 2 mins,42 mins
2016-10-18,17:30,Tuesday,1 hour 2 mins,39 mins
2016-10-18,17:35,Tuesday,1 hour 1 min,38 mins
2016-10-18,17:40,Tuesday,1 hour 0 mins,38 mins
2016-10-18,17:45,Tuesday,1 hour 2 mins,38 mins
2016-10-18,17:50,Tuesday,1 hour 2 mins,36 mins
2016-10-18,17:55,Tuesday,1 hour 1 min,36 mins
2016-10-18,18:00,Tuesday,1 hour 0 mins,35 mins
2016-10-18,18:05,Tuesday,58 mins,35 mins
2016-10-18,18:10,Tuesday,58 mins,33 mins
2016-10-18,18:15,Tuesday,59 mins,33 mins
2016-10-18,18:20,Tuesday,56 mins,33 mins
2016-10-18,18:25,Tuesday,57 mins,33 mins
2016-10-18,18:30,Tuesday,55 mins,34 mins
2016-10-18,18:35,Tuesday,54 mins,32 mins
2016-10-18,18:40,Tuesday,53 mins,33 mins
2016-10-18,18:45,Tuesday,51 mins,32 mins
2016-10-18,18:50,Tuesday,52 mins,31 mins
2016-10-18,18:55,Tuesday,50 mins,31 mins
2016-10-18,19:00,Tuesday,50 mins,29 mins
2016-10-18,19:05,Tuesday,49 mins,28 mins
2016-10-18,19:10,Tuesday,50 mins,29 mins
2016-10-18,19:15,Tuesday,48 mins,27 mins
2016-10-18,19:20,Tuesday,48 mins,28 mins
2016-10-18,19:25,Tuesday,45 mins,29 mins
2016-10-18,19:30,Tuesday,45 mins,27 mins
2016-10-18,19:35,Tuesday,44 mins,27 mins
2016-10-18,19:40,Tuesday,43 mins,27 mins
2016-10-18,19:45,Tuesday,42 mins,27 mins
2016-10-18,19:50,Tuesday,40 mins,27 mins
2016-10-18,19:55,Tuesday,39 mins,27 mins
2016-10-18,23:00,Tuesday,27 mins,31 mins
2016-10-18,23:05,Tuesday,26 mins,31 mins
2016-10-18,23:10,Tuesday,26 mins,30 mins
2016-10-18,23:15,Tuesday,26 mins,30 mins
2016-10-18,23:20,Tuesday,26 mins,29 mins
2016-10-18,23:25,Tuesday,26 mins,29 mins
2016-10-18,23:30,Tuesday,26 mins,28 mins
2016-10-18,23:35,Tuesday,26 mins,27 mins
2016-10-18,23:40,Tuesday,26 mins,27 mins
2016-10-18,23:45,Tuesday,26 mins,25 mins
2016-10-18,23:50,Tuesday,27 mins,25 mins
2016-10-18,23:55,Tuesday,26 mins,25 mins
2016-10-19,05:00,Wednesday,25 mins,25 mins
2016-10-19,05:05,Wednesday,25 mins,25 mins
2016-10-19,05:10,Wednesday,25 mins,25 mins
2016-10-19,05:15,Wednesday,25 mins,25 mins
2016-10-19,05:20,Wednesday,25 mins,25 mins
2016-10-19,05:25,Wednesday,25 mins,25 mins
2016-10-19,05:30,Wednesday,25 mins,25 mins
2016-10-19,05:35,Wednesday,25 mins,25 mins
2016-10-19,05:40,Wednesday,25 mins,25 mins
2016-10-19,05:45,Wednesday,26 mins,25 mins
2016-10-19,05:50,Wednesday,26 mins,25 mins
2016-10-19,05:55,Wednesday,27 mins,26 mins
2016-10-19,06:00,Wednesday,28 mins,26 mins
2016-10-19,06:05,Wednesday,29 mins,27 mins
2016-10-19,06:10,Wednesday,31 mins,28 mins
2016-10-19,06:15,Wednesday,38 mins,31 mins
2016-10-19,06:20,Wednesday,40 mins,37 mins
2016-10-19,06:25,Wednesday,44 mins,41 mins
2016-10-19,06:30,Wednesday,48 mins,46 mins
2016-10-19,06:35,Wednesday,50 mins,51 mins
2016-10-19,06:40,Wednesday,51 mins,50 mins
2016-10-19,06:45,Wednesday,54 mins,54 mins
2016-10-19,06:50,Wednesday,56 mins,55 mins
2016-10-19,06:55,Wednesday,54 mins,55 mins
2016-10-19,07:00,Wednesday,56 mins,57 mins
2016-10-19,07:05,Wednesday,57 mins,59 mins
2016-10-19,07:10,Wednesday,56 mins,58 mins
2016-10-19,07:15,Wednesday,59 mins,1 hour 3 mins
2016-10-19,07:20,Wednesday,1 hour 0 mins,1 hour 3 mins
2016-10-19,07:25,Wednesday,1 hour 4 mins,1 hour 4 mins
2016-10-19,07:30,Wednesday,1 hour 0 mins,1 hour 2 mins
2016-10-19,07:35,Wednesday,59 mins,58 mins
2016-10-19,07:40,Wednesday,1 hour 0 mins,57 mins
2016-10-19,07:45,Wednesday,1 hour 0 mins,55 mins
2016-10-19,07:50,Wednesday,57 mins,55 mins
2016-10-19,07:55,Wednesday,57 mins,55 mins
2016-10-19,17:00,Wednesday,1 hour 4 mins,40 mins
2016-10-19,17:05,Wednesday,1 hour 3 mins,41 mins
2016-10-19,17:10,Wednesday,1 hour 1 min,40 mins
2016-10-19,17:15,Wednesday,1 hour 3 mins,41 mins
2016-10-19,17:20,Wednesday,1 hour 2 mins,40 mins
2016-10-19,17:25,Wednesday,1 hour 1 min,41 mins
2016-10-19,17:30,Wednesday,1 hour 4 mins,39 mins
2016-10-19,17:35,Wednesday,1 hour 5 mins,40 mins
2016-10-19,17:40,Wednesday,1 hour 4 mins,39 mins
2016-10-19,17:45,Wednesday,1 hour 4 mins,36 mins
2016-10-19,17:50,Wednesday,1 hour 3 mins,36 mins
2016-10-19,17:55,Wednesday,1 hour 5 mins,38 mins
2016-10-19,18:00,Wednesday,1 hour 3 mins,36 mins
2016-10-19,18:05,Wednesday,1 hour 1 min,34 mins
2016-10-19,18:10,Wednesday,1 hour 0 mins,33 mins
2016-10-19,18:15,Wednesday,59 mins,33 mins
2016-10-19,18:20,Wednesday,57 mins,33 mins
2016-10-19,18:25,Wednesday,57 mins,34 mins
2016-10-19,18:30,Wednesday,54 mins,33 mins
2016-10-19,18:35,Wednesday,50 mins,33 mins
2016-10-19,18:40,Wednesday,50 mins,31 mins
2016-10-19,18:45,Wednesday,49 mins,30 mins
2016-10-19,18:50,Wednesday,46 mins,31 mins
2016-10-19,18:55,Wednesday,47 mins,29 mins
2016-10-19,19:00,Wednesday,45 mins,27 mins
2016-10-19,19:05,Wednesday,44 mins,29 mins
2016-10-19,19:10,Wednesday,44 mins,30 mins
2016-10-19,19:15,Wednesday,41 mins,29 mins
2016-10-19,19:20,Wednesday,41 mins,29 mins
2016-10-19,19:25,Wednesday,40 mins,28 mins
2016-10-19,19:30,Wednesday,38 mins,27 mins
2016-10-19,19:35,Wednesday,36 mins,27 mins
2016-10-19,19:40,Wednesday,36 mins,27 mins
2016-10-19,19:45,Wednesday,36 mins,27 mins
2016-10-19,19:50,Wednesday,35 mins,28 mins
2016-10-19,19:55,Wednesday,34 mins,27 mins
